Feature,Coefficient,Absolute
source_dataset_hypertension,-5.713936101047089,5.713936101047089
source_dataset_heart,-5.4160975452114135,5.4160975452114135
sublabel_N,-2.2012921952130737,2.2012921952130737
heart_disease,-2.077336535775066,2.077336535775066
"disease_flags_1,0,0",1.8974702276951723,1.8974702276951723
diabetes_Yes,1.5294757971245805,1.5294757971245805
sublabel_DI_HT,1.2477295536305129,1.2477295536305129
"disease_flags_1,1,0",1.2477295536118194,1.2477295536118194
bmi,1.1549987488485627,1.1549987488485627
high_ldl_cholesterol_Yes,1.066808768622695,1.066808768622695
composite_key_Senior_Female_Overweight_Never_Yes,0.9691751981114124,0.9691751981114124
high_blood_pressure_Yes,0.933274763956325,0.933274763956325
composite_key_Senior_Male_Overweight_Former_Yes,0.8851186903288376,0.8851186903288376
composite_key_Mature_Female_Obese_Never_Yes,0.86428235482898,0.86428235482898
composite_key_Mature_Female_Overweight_Never_Yes,0.7885633499085033,0.7885633499085033
composite_key_Middle_Female_Obese_Never_No,-0.7687742996008478,0.7687742996008478
composite_key_Mature_Female_Overweight_Never_No,-0.7446754492852571,0.7446754492852571
ldl,-0.7406684414666448,0.7406684414666448
composite_key_Mature_Male_Obese_Never_Yes,0.6988961837060439,0.6988961837060439
"disease_flags_0,0,1",0.6819912163016529,0.6819912163016529
sublabel_HY,0.6819912161534375,0.6819912161534375
composite_key_Mature_Male_Overweight_Former_Yes,0.6767550436976434,0.6767550436976434
"disease_flags_1,1,1",0.6604268324730426,0.6604268324730426
sublabel_DI_HT_HY,0.6604268324346134,0.6604268324346134
smoking_Never,-0.6518485741908352,0.6518485741908352
composite_key_Mature_Male_Obese_Former_Yes,0.616502970715677,0.616502970715677
composite_key_Senior_Female_Obese_Never_Yes,0.5419046312572573,0.5419046312572573
age_level,0.525566385862628,0.525566385862628
composite_key_Mature_Female_Obese_Former_No,-0.5099209611888205,0.5099209611888205
composite_key_Senior_Male_Overweight_Former_No,-0.5093998465249077,0.5093998465249077
composite_key_Young_Female_Normal_Never_No,-0.4968431936501482,0.4968431936501482
composite_key_Senior_Male_Obese_Former_Yes,0.4738065860815949,0.4738065860815949
physical_activity_Low,-0.4551671486074605,0.4551671486074605
composite_key_Middle_Female_Overweight_Former_No,-0.4494160348367119,0.4494160348367119
hypertension,-0.4452653416706956,0.4452653416706956
composite_key_Mature_Female_Overweight_Former_Yes,0.44392581781930984,0.44392581781930984
sugar_consumption_Medium,-0.4435005875822787,0.4435005875822787
composite_key_Middle_Female_Normal_Never_No,-0.43993758514490644,0.43993758514490644
education_level_Secondary,-0.43402158869982216,0.43402158869982216
composite_key_Senior_Female_Overweight_Never_No,-0.4235281668971237,0.4235281668971237
composite_key_Middle_Male_Overweight_Current_No,-0.4209537374926129,0.4209537374926129
composite_key_Mature_Female_Normal_Former_Yes,0.42006317797187603,0.42006317797187603
bmi_level,-0.4104063863108581,0.4104063863108581
composite_key_Senior_Male_Overweight_Never_Yes,0.403471237714809,0.403471237714809
composite_key_Middle_Female_Overweight_Current_No,-0.3962866397873936,0.3962866397873936
age_normalized,0.3912983939495792,0.3912983939495792
composite_key_Senior_Female_Normal_Never_Yes,0.38875916062589955,0.38875916062589955
composite_key_Mature_Male_Overweight_Former_No,-0.38678526078586517,0.38678526078586517
composite_key_Middle_Female_Overweight_Never_No,-0.38636579305777424,0.38636579305777424
stress_level_Low,0.38136649782882415,0.38136649782882415
composite_key_Senior_Female_Overweight_Former_Yes,0.37981612778437623,0.37981612778437623
composite_key_Young_Female_Overweight_Never_No,-0.3771405902699693,0.3771405902699693
age,0.37688587969695625,0.37688587969695625
composite_key_Young_Male_Overweight_Never_No,-0.3619328975161221,0.3619328975161221
composite_key_Middle_Male_Obese_Never_No,-0.3600893160954794,0.3600893160954794
composite_key_Senior_Female_Normal_Never_No,-0.3471025488549505,0.3471025488549505
stress_level_Medium,0.3466584153039299,0.3466584153039299
composite_key_Mature_Female_Overweight_Current_No,-0.34536126890180663,0.34536126890180663
composite_key_Middle_Male_Overweight_Never_No,-0.33949728328861645,0.33949728328861645
composite_key_Young_Female_Underweight_Current_No,0.3295531501923163,0.3295531501923163
low_hdl_cholesterol_Yes,0.3252998190322155,0.3252998190322155
composite_key_Mature_Female_Obese_Former_Yes,0.31707331915488735,0.31707331915488735
composite_key_Young_Male_Underweight_Never_No,-0.31519012857481576,0.31519012857481576
composite_key_Senior_Male_Obese_Never_Yes,0.3068759840890665,0.3068759840890665
composite_key_Mature_Female_Normal_Never_No,-0.30671987770330456,0.30671987770330456
composite_key_Middle_Female_Underweight_Never_No,0.29631295854759493,0.29631295854759493
composite_key_Mature_Female_Obese_Never_No,-0.29447870946634813,0.29447870946634813
composite_key_Middle_Male_Overweight_Former_No,-0.289394124044798,0.289394124044798
composite_key_Mature_Male_Obese_Former_No,-0.28310240647151486,0.28310240647151486
composite_key_Young_Female_Obese_Never_No,-0.2816287451535294,0.2816287451535294
composite_key_Mature_Male_Normal_Former_Yes,0.28100947390809833,0.28100947390809833
composite_key_Mature_Female_Overweight_Former_No,-0.2788633907596781,0.2788633907596781
composite_key_Senior_Male_Overweight_Current_No,0.27102399900382357,0.27102399900382357
composite_key_Senior_Male_Normal_Former_Yes,0.26867566011973826,0.26867566011973826
composite_key_Senior_Female_Normal_Former_Yes,0.26286248217593755,0.26286248217593755
composite_key_Mature_Female_Normal_Former_No,-0.24509197790567716,0.24509197790567716
composite_key_Middle_Female_Obese_Former_No,-0.24159930343017372,0.24159930343017372
composite_key_Mature_Male_Underweight_Current_Yes,-0.23889002685253133,0.23889002685253133
composite_key_Young_Female_Underweight_Never_Yes,0.23596239950612236,0.23596239950612236
family_history_Yes,0.23352840236846856,0.23352840236846856
"disease_flags_0,1,0",0.23227895005121862,0.23227895005121862
sublabel_HT,0.23227895004053747,0.23227895004053747
composite_key_Senior_Male_Overweight_Never_No,0.22795201281684876,0.22795201281684876
composite_key_Mature_Male_Overweight_Never_No,-0.22552850783225406,0.22552850783225406
composite_key_Middle_Female_Normal_Never_Yes,0.22365875212876332,0.22365875212876332
composite_key_Senior_Female_Normal_Former_No,-0.22093700460685795,0.22093700460685795
"disease_flags_0,1,1",0.21795206875192727,0.21795206875192727
sublabel_HT_HY,0.21795206873069276,0.21795206873069276
composite_key_Middle_Female_Normal_Current_Yes,0.21750414067476795,0.21750414067476795
sugar_consumption_Low,-0.21573445242728742,0.21573445242728742
composite_key_Young_Male_Normal_Current_No,0.21466852378389956,0.21466852378389956
composite_key_Young_Female_Normal_Current_No,0.21392787766496696,0.21392787766496696
composite_key_Mature_Male_Normal_Former_No,-0.20570406508980354,0.20570406508980354
hdl,0.20541476265993341,0.20541476265993341
composite_key_Mature_Male_Overweight_Never_Yes,0.20519453396002166,0.20519453396002166
composite_key_Senior_Male_Normal_Current_No,0.20403181151746047,0.20403181151746047
composite_key_Mature_Female_Underweight_Never_Yes,-0.20274220776365162,0.20274220776365162
composite_key_Young_Male_Obese_Never_No,-0.19926148957750867,0.19926148957750867
composite_key_Middle_Female_Normal_Former_No,-0.1977481880655182,0.1977481880655182
composite_key_Mature_Female_Underweight_Former_Yes,-0.1973707875821749,0.1973707875821749
composite_key_Middle_Male_Obese_Former_No,-0.1950499476623987,0.1950499476623987
composite_key_Mature_Male_Normal_Current_Yes,0.1935270511600984,0.1935270511600984
composite_key_Senior_Female_Normal_Current_No,0.19223249138523865,0.19223249138523865
composite_key_Middle_Male_Normal_Current_Yes,-0.18711226790801094,0.18711226790801094
composite_key_Senior_Female_Underweight_Former_No,0.18603328949360942,0.18603328949360942
composite_key_Middle_Male_Overweight_Current_Yes,-0.18594027864427032,0.18594027864427032
composite_key_Mature_Female_Overweight_Current_Yes,0.1843727798541699,0.1843727798541699
composite_key_Mature_Male_Obese_Never_No,-0.1807570592804734,0.1807570592804734
composite_key_Middle_Male_Underweight_Former_No,0.18056859772202033,0.18056859772202033
composite_key_Middle_Male_Normal_Former_Yes,-0.17931149600564128,0.17931149600564128
composite_key_Middle_Male_Obese_Former_Yes,-0.17910265043415036,0.17910265043415036
composite_key_Senior_Male_Underweight_Current_Yes,-0.17526624096481172,0.17526624096481172
composite_key_Young_Male_Normal_Former_Yes,0.17285178056047165,0.17285178056047165
composite_key_Young_Male_Overweight_Former_No,-0.16763427493690788,0.16763427493690788
smoking_Former,-0.1671125363079214,0.1671125363079214
composite_key_Young_Male_Overweight_Current_No,0.166864628388249,0.166864628388249
composite_key_Senior_Female_Obese_Current_Yes,-0.16661143306508933,0.16661143306508933
composite_key_Mature_Female_Underweight_Former_No,0.16578522131285903,0.16578522131285903
physical_activity_Moderate,-0.1628127600539337,0.1628127600539337
composite_key_Senior_Male_Underweight_Never_Yes,-0.16204333224680373,0.16204333224680373
composite_key_Senior_Male_Obese_Never_No,0.1612706871496368,0.1612706871496368
homocysteine_level,-0.15748412335935616,0.15748412335935616
composite_key_Middle_Female_Overweight_Former_Yes,-0.15715352819481826,0.15715352819481826
composite_key_Senior_Male_Normal_Never_Yes,0.15635818238092505,0.15635818238092505
composite_key_Mature_Female_Underweight_Current_Yes,-0.15605693084897032,0.15605693084897032
composite_key_Young_Female_Underweight_Never_No,-0.15179400787746977,0.15179400787746977
composite_key_Senior_Female_Obese_Former_No,-0.15136846578053123,0.15136846578053123
composite_key_Young_Male_Obese_Current_No,0.14795819434510132,0.14795819434510132
composite_key_Senior_Male_Normal_Current_Yes,-0.14530278902604385,0.14530278902604385
composite_key_Middle_Male_Obese_Current_No,-0.1432336654552156,0.1432336654552156
composite_key_Middle_Female_Underweight_Current_Yes,-0.14305050116360946,0.14305050116360946
composite_key_Young_Female_Normal_Former_No,-0.1425300580201283,0.1425300580201283
composite_key_Senior_Female_Underweight_Never_Yes,0.14181628323565532,0.14181628323565532
composite_key_Middle_Female_Obese_Former_Yes,-0.13330343745935536,0.13330343745935536
composite_key_Senior_Female_Underweight_Current_Yes,0.13310688870495982,0.13310688870495982
composite_key_Mature_Male_Underweight_Never_No,0.13256214996864957,0.13256214996864957
composite_key_Senior_Male_Obese_Former_No,-0.13120251004761435,0.13120251004761435
composite_key_Young_Female_Obese_Current_No,-0.129527145405747,0.129527145405747
composite_key_Middle_Male_Underweight_Never_Yes,-0.12942069869572354,0.12942069869572354
composite_key_Senior_Male_Overweight_Current_Yes,0.12550392451394352,0.12550392451394352
composite_key_Senior_Female_Overweight_Former_No,-0.1253939684526284,0.1253939684526284
composite_key_Young_Male_Obese_Current_Yes,-0.12428617238325705,0.12428617238325705
composite_key_Middle_Male_Obese_Current_Yes,-0.12385567755083769,0.12385567755083769
triglycerides,-0.12375453622111024,0.12375453622111024
composite_key_Middle_Female_Obese_Never_Yes,-0.12287455271083081,0.12287455271083081
composite_key_Mature_Male_Overweight_Current_No,-0.12141868059843161,0.12141868059843161
composite_key_Mature_Male_Normal_Current_No,0.1209868182912586,0.1209868182912586
composite_key_Young_Female_Obese_Former_Yes,-0.11960251943545698,0.11960251943545698
composite_key_Young_Female_Underweight_Former_No,0.11629287351747894,0.11629287351747894
heart_rate,-0.11512085872654788,0.11512085872654788
composite_key_Senior_Male_Normal_Former_No,-0.11469939726471978,0.11469939726471978
composite_key_Mature_Female_Obese_Current_No,0.11190774201511085,0.11190774201511085
composite_key_Young_Male_Overweight_Never_Yes,0.11152785444844229,0.11152785444844229
composite_key_Young_Female_Obese_Former_No,-0.10868159352231353,0.10868159352231353
composite_key_Young_Male_Normal_Current_Yes,-0.10306901407491402,0.10306901407491402
employment_status_Unemployed,-0.09618439928536449,0.09618439928536449
composite_key_Young_Female_Underweight_Former_Yes,0.09599900649962308,0.09599900649962308
composite_key_Young_Male_Underweight_Former_No,0.09596172543855273,0.09596172543855273
employment_status_Retired,-0.09496438091749938,0.09496438091749938
composite_key_Mature_Female_Obese_Current_Yes,0.09466228177022867,0.09466228177022867
composite_key_Middle_Male_Normal_Former_No,-0.09444016443296747,0.09444016443296747
composite_key_Middle_Male_Overweight_Never_Yes,0.08913830710721364,0.08913830710721364
composite_key_Young_Female_Obese_Current_Yes,-0.08870296258783504,0.08870296258783504
composite_key_Middle_Female_Normal_Former_Yes,0.0885254075199565,0.0885254075199565
composite_key_Young_Female_Normal_Current_Yes,-0.08699885529655545,0.08699885529655545
composite_key_Mature_Male_Underweight_Never_Yes,-0.08555415876974332,0.08555415876974332
composite_key_Senior_Female_Obese_Former_Yes,0.0842880405202258,0.0842880405202258
composite_key_Mature_Male_Overweight_Current_Yes,0.08407000719821835,0.08407000719821835
composite_key_Senior_Female_Underweight_Never_No,0.08341652525993168,0.08341652525993168
composite_key_Young_Male_Normal_Never_Yes,0.08219734278331424,0.08219734278331424
composite_key_Middle_Male_Obese_Never_Yes,-0.079539150263127,0.079539150263127
composite_key_Young_Female_Overweight_Former_No,-0.07919083417705397,0.07919083417705397
composite_key_Middle_Male_Normal_Never_Yes,0.07672429503006825,0.07672429503006825
composite_key_Senior_Male_Underweight_Never_No,0.07668417629288635,0.07668417629288635
composite_key_Young_Female_Overweight_Current_Yes,-0.07667131445512788,0.07667131445512788
composite_key_Young_Female_Normal_Never_Yes,0.07644900382556245,0.07644900382556245
composite_key_Mature_Male_Obese_Current_Yes,0.07584071610432895,0.07584071610432895
composite_key_Middle_Male_Normal_Never_No,-0.07495957092024591,0.07495957092024591
composite_key_Senior_Female_Obese_Current_No,0.07468671244117461,0.07468671244117461
composite_key_Mature_Male_Normal_Never_No,-0.07398339270490549,0.07398339270490549
composite_key_Mature_Male_Underweight_Former_Yes,0.07150113598067911,0.07150113598067911
composite_key_Young_Female_Underweight_Current_Yes,0.07129629511319759,0.07129629511319759
composite_key_Middle_Female_Overweight_Never_Yes,0.067571890204841,0.067571890204841
blood_pressure,-0.06751490252063584,0.06751490252063584
composite_key_Senior_Male_Underweight_Current_No,0.06718221611352711,0.06718221611352711
composite_key_Middle_Female_Overweight_Current_Yes,-0.06717028563904727,0.06717028563904727
gender_Male,-0.06709207347989622,0.06709207347989622
diastolic_bp,0.06492072994871435,0.06492072994871435
composite_key_Senior_Female_Obese_Never_No,-0.06396406796168112,0.06396406796168112
composite_key_Senior_Male_Obese_Current_Yes,0.06274374843435539,0.06274374843435539
composite_key_Mature_Female_Underweight_Current_No,0.061228658759227714,0.061228658759227714
composite_key_Senior_Female_Normal_Current_Yes,0.06060921263926093,0.06060921263926093
composite_key_Middle_Female_Underweight_Former_No,0.06042793481335044,0.06042793481335044
composite_key_Young_Male_Normal_Never_No,0.05865023329081216,0.05865023329081216
composite_key_Senior_Female_Overweight_Current_No,0.058075959441744485,0.058075959441744485
composite_key_Young_Female_Normal_Former_Yes,0.056915208324387595,0.056915208324387595
crp_level,0.05683005995681912,0.05683005995681912
composite_key_Young_Male_Overweight_Current_Yes,0.05517209473425693,0.05517209473425693
composite_key_Young_Male_Obese_Never_Yes,-0.05434218014763856,0.05434218014763856
composite_key_Young_Male_Underweight_Never_Yes,0.052278128505341075,0.052278128505341075
composite_key_Senior_Female_Underweight_Former_Yes,-0.051537952884211403,0.051537952884211403
composite_key_Middle_Male_Overweight_Former_Yes,-0.05119467367591701,0.05119467367591701
composite_key_Mature_Female_Normal_Current_Yes,0.05116899964387874,0.05116899964387874
salt_intake,0.05065434094198251,0.05065434094198251
composite_key_Young_Male_Obese_Former_Yes,0.049860050072688296,0.049860050072688296
composite_key_Young_Female_Overweight_Never_Yes,-0.049544656889939774,0.049544656889939774
composite_key_Senior_Male_Underweight_Former_No,0.04837826957929074,0.04837826957929074
composite_key_Young_Male_Obese_Former_No,0.044768056683127715,0.044768056683127715
composite_key_Mature_Male_Underweight_Current_No,0.042647667472247325,0.042647667472247325
composite_key_Mature_Female_Underweight_Never_No,0.0417766144991892,0.0417766144991892
composite_key_Young_Male_Underweight_Current_No,0.04069133315371444,0.04069133315371444
sleep_hours,-0.04047016719475887,0.04047016719475887
composite_key_Mature_Male_Underweight_Former_No,0.038163852682605644,0.038163852682605644
composite_key_Middle_Male_Underweight_Former_Yes,-0.03798041285025517,0.03798041285025517
composite_key_Senior_Male_Obese_Current_No,0.03779954010641275,0.03779954010641275
composite_key_Middle_Male_Underweight_Current_No,-0.036315314050044636,0.036315314050044636
composite_key_Young_Male_Normal_Former_No,0.03459484660032875,0.03459484660032875
composite_key_Senior_Female_Underweight_Current_No,0.033451598797876604,0.033451598797876604
alcohol_intake,-0.03320108355504432,0.03320108355504432
composite_key_Middle_Female_Normal_Current_No,-0.03055174661204462,0.03055174661204462
composite_key_Mature_Male_Normal_Never_Yes,0.029912118505428322,0.029912118505428322
composite_key_Middle_Male_Underweight_Current_Yes,0.024008668068608886,0.024008668068608886
composite_key_Young_Female_Obese_Never_Yes,0.0239856170290448,0.0239856170290448
composite_key_Senior_Male_Normal_Never_No,0.022867933199795916,0.022867933199795916
composite_key_Young_Female_Overweight_Current_No,0.021911915612069247,0.021911915612069247
composite_key_Middle_Male_Normal_Current_No,-0.021804494342948455,0.021804494342948455
cholesterol,-0.021800482930995416,0.021800482930995416
composite_key_Middle_Female_Underweight_Former_Yes,-0.0204727698039526,0.0204727698039526
composite_key_Middle_Female_Underweight_Never_Yes,0.020200603611867915,0.020200603611867915
composite_key_Middle_Female_Obese_Current_No,-0.018937336330739026,0.018937336330739026
composite_key_Young_Male_Underweight_Former_Yes,-0.017403520662214688,0.017403520662214688
composite_key_Young_Male_Underweight_Current_Yes,-0.01550389960876247,0.01550389960876247
composite_key_Middle_Female_Obese_Current_Yes,-0.01528950812835838,0.01528950812835838
composite_key_Young_Female_Overweight_Former_Yes,0.013763246260574217,0.013763246260574217
HbA1c_level,0.01302935821364156,0.01302935821364156
"disease_flags_1,0,1",0.01264713974293394,0.01264713974293394
sublabel_DI_HY,0.01264713972640702,0.01264713972640702
composite_key_Middle_Male_Underweight_Never_No,-0.010869455306702474,0.010869455306702474
composite_key_Young_Male_Overweight_Former_Yes,-0.010294345748218747,0.010294345748218747
composite_key_Senior_Male_Underweight_Former_Yes,-0.00982656988302229,0.00982656988302229
composite_key_Mature_Male_Obese_Current_No,0.008837419844536048,0.008837419844536048
composite_key_Senior_Female_Overweight_Current_Yes,-0.007110239959173001,0.007110239959173001
systolic_bp,-0.002770111262550044,0.002770111262550044
composite_key_Mature_Female_Normal_Never_Yes,0.002433107533652557,0.002433107533652557
education_level_Tertiary,-0.0013459707084789998,0.0013459707084789998
composite_key_Middle_Female_Underweight_Current_No,-0.00022955860388872715,0.00022955860388872715
